City ID,City Name,Country,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
126,Basco,PH,43,73.6,15.21,80,20.4487,121.9702
127,Tanete,ID,100,79.14,0.87,78,-3.9443,119.7848
128,Buala,SB,100,81.63,15.46,83,-8.145,159.5921
129,High Level,CA,75,-7.6,3.44,77,58.5169,-117.136
130,Grajaú,BR,95,75.42,3.0,93,-5.8194,-46.1386
131,San Patricio,US,90,41.0,17.27,93,28.017,-97.5169
132,Matagami,CA,90,-4.0,14.97,77,49.7502,-77.6328
133,Mahébourg,MU,75,78.8,8.05,78,-20.4081,57.7
134,Mossamedes,AO,42,73.87,1.03,76,-15.1961,12.1522
135,Wau,SS,56,75.79,4.12,20,7.7029,27.9953
136,Pecos,US,90,35.6,8.05,80,31.4229,-103.4932
137,Cheltenham,GB,76,30.0,1.99,80,51.9,-2.0833
138,Khatanga,RU,92,-24.56,4.29,87,71.9667,102.5
139,Vanavara,RU,84,-22.45,4.41,86,60.34,102.2797
140,Shubarkuduk,KZ,100,30.22,13.96,98,49.1447,56.4872
141,Uruçuí,BR,66,77.25,2.73,87,-7.2294,-44.5561
142,Codajás,BR,98,76.44,2.15,96,-3.8367,-62.0569
143,Lüderitz,NA,28,66.65,3.74,82,-26.6481,15.1594
144,Mitsamiouli,KM,100,81.79,14.5,77,-11.3847,43.2844
145,Marzuq,YE,6,55.71,3.18,37,14.4,46.4667
146,Upernavik,GL,88,0.03,6.13,81,72.7868,-56.1549
147,Dali,CN,0,40.26,2.89,71,25.7,100.1833
148,Cabedelo,BR,0,80.6,9.22,78,-6.9811,-34.8339
149,Puerto Ayacucho,VE,89,86.65,5.77,47,5.6639,-67.6236
150,Provideniya,RU,20,-5.8,29.08,59,64.3833,-173.3
151,Nishihara,JP,75,66.2,25.32,82,26.1842,127.7558
152,Wonthaggi,AU,52,66.0,14.58,73,-38.6044,145.5913
153,New Norfolk,AU,27,68.0,7.0,64,-42.7826,147.0587
154,Atuona,PF,3,79.29,11.41,74,-9.8,-139.0333
155,Akom,CM,19,72.5,2.89,76,2.6678,12.7109
156,Ketchikan,US,1,24.8,18.41,33,55.3422,-131.6461
157,Saint-Pierre,RE,94,78.8,4.61,61,-21.3393,55.4781
158,Xinzhou,CN,1,33.8,0.98,81,38.4092,112.7333
159,Oistins,BB,40,78.8,18.41,61,13.0667,-59.5333
160,Deputatsky,RU,100,-6.66,2.01,81,69.3,139.9
161,Comodoro Rivadavia,AR,0,86.0,17.27,21,-45.8667,-67.5
162,Visnes,NO,0,23.0,10.36,45,59.3556,5.2242
163,Moranbah,AU,52,78.21,15.68,57,-22.0016,148.0466
164,Katsuura,JP,0,44.01,9.22,56,35.1333,140.3
165,Torfyanoy,RU,100,-1.41,7.74,91,58.4916,49.1979
166,Curuan,PH,40,75.2,1.14,94,7.2053,122.2331
167,Northam,GB,100,37.99,8.01,77,51.0333,-4.2167
168,Santa Catarina de Tepehuanes,MX,6,62.33,16.35,25,25.35,-105.7333
169,Montepuez,MZ,100,70.36,5.97,94,-13.1256,38.9997
170,Quatre Cocos,MU,75,78.8,8.05,78,-20.2078,57.7625
171,Castro,BR,93,61.63,4.9,94,-24.7911,-50.0119
172,La Sarre,CA,100,-10.32,5.88,88,48.8002,-79.1996
173,Sinnamary,GF,99,78.04,13.85,84,5.3833,-52.95
174,Nehe,CN,9,15.87,10.56,93,48.4833,124.8333
175,Tokat,TR,73,34.7,7.63,84,40.4167,36.5833
176,Labuhan,ID,100,76.98,6.96,87,-6.8844,112.2051
177,Sobolevo,RU,100,6.85,16.6,94,54.4299,31.8996
178,Makat,KZ,100,34.63,10.33,89,47.6469,53.3463
179,Ambilobe,MG,98,73.54,1.34,94,-13.2,49.05
180,Grand Gaube,MU,98,78.01,5.01,74,-20.0064,57.6608
181,Bengkulu,ID,100,76.14,4.76,85,-3.8004,102.2655
182,Bandarbeyla,SO,88,73.17,13.11,74,9.4942,50.8122
183,Along,IN,0,50.85,1.74,57,28.1667,94.7667
184,Coquimbo,CL,20,66.2,11.5,72,-29.9533,-71.3436
185,Bredasdorp,ZA,83,71.6,6.91,83,-34.5322,20.0403
186,Agía Paraskeví,GR,0,44.6,24.16,57,40.4833,23.05
187,Aleppo Governorate,SY,0,52.63,3.6,69,36.25,37.5
188,Dargaville,NZ,15,68.97,9.53,53,-35.9333,173.8833
189,Leshukonskoye,RU,100,-4.23,3.51,91,64.8989,45.7622
190,Itaituba,BR,40,84.2,1.52,74,-4.2761,-55.9836
191,Bar Harbor,US,1,19.99,4.61,45,44.3876,-68.2039
192,Berlevåg,NO,75,15.8,18.41,86,70.8578,29.0864
193,Kavieng,PG,78,83.05,9.4,75,-2.5744,150.7967
194,Vladislavovka,UA,100,50.67,9.75,70,45.1667,35.3667
195,Souillac,MU,75,78.8,8.05,78,-20.5167,57.5167
196,Mogocha,RU,100,6.03,8.16,93,53.7333,119.7667
197,Carauari,BR,100,77.0,2.48,94,-4.8828,-66.8958
198,Abu Samrah,SY,0,53.22,6.69,59,35.3029,37.1841
199,Manggar,ID,100,78.22,9.48,87,-2.8833,108.2667
200,Aracati,BR,6,81.46,14.58,75,-4.5617,-37.7697
201,St. George's,GD,20,78.8,20.71,73,12.0564,-61.7485
202,Bundaberg,AU,90,82.0,5.75,69,-24.85,152.35
203,Pietroşiţa,RO,100,24.01,10.0,91,45.1833,25.4333
204,Moultonborough,US,67,17.01,3.0,56,43.7548,-71.3967
205,San Jose,US,90,61.0,1.66,48,37.3394,-121.895
206,Saint George,US,1,66.0,13.8,24,37.1041,-113.5841
207,Casma,CL,20,73.4,11.5,60,-41.0082,-73.1244
208,Cabo San Lucas,MX,20,72.0,11.5,60,22.8909,-109.9124
209,Haimen,CN,75,57.2,5.91,94,23.1935,116.6142
210,Dikson,RU,100,-15.02,3.85,89,73.5069,80.5464
211,Tautira,PF,75,86.0,11.5,51,-17.7333,-149.15
212,Lakatoro,VU,62,84.51,4.07,67,-16.0999,167.4164
213,Kayerkan,RU,99,-15.54,2.15,88,69.3497,87.7602
214,Ust-Kuyga,RU,46,-13.14,5.1,84,70.0167,135.6
215,Gimli,CA,89,-14.8,9.22,48,50.6336,-96.9907
216,Kālīganj,BD,100,61.93,6.22,49,23.4095,89.1402
217,Codrington,AU,100,62.96,11.92,64,-38.2667,141.9667
218,Bilibino,RU,0,-19.21,4.81,74,68.0546,166.4372
219,Daru,PG,100,79.29,10.11,88,-9.0763,143.2092
220,Hasaki,JP,75,35.6,6.91,80,35.7333,140.8333
221,George Town,MY,40,78.8,3.44,83,5.4112,100.3354
222,Agnibilékrou,CI,19,77.92,5.28,79,7.1344,-3.2047
223,Frumuşiţa,RO,100,27.91,22.75,90,45.6667,28.0667
224,Talnakh,RU,97,-14.58,2.3,88,69.4865,88.3972
225,Inuvik,CA,36,-0.4,2.3,78,68.3499,-133.7218
226,Paratebueno,CO,61,84.34,3.36,43,4.3758,-73.2155
227,Yeppoon,AU,75,78.8,4.61,61,-23.1333,150.7333
228,Mana,GF,100,77.58,12.77,83,5.6592,-53.7767
229,Touho,NC,17,79.79,6.22,66,-20.7833,165.2333
230,Gilbués,BR,23,74.71,3.91,88,-9.8317,-45.3439
231,Mandiana,GN,6,76.78,2.53,18,10.6333,-8.6833
232,Anadyr,RU,0,-25.01,4.47,68,64.75,177.4833
233,Lumsden,CA,20,-20.99,16.11,63,50.6501,-104.8678
234,Baruun-Urt,MN,3,1.56,8.34,86,46.6806,113.2792
235,Hājīpur,IN,23,55.4,1.01,94,25.6833,85.2167
236,Jambi City,ID,78,73.99,3.15,98,-1.6,103.6167
237,Careiro da Várzea,BR,75,77.0,5.75,94,-3.2003,-59.8119
238,Mayor Pablo Lagerenza,PY,100,68.85,2.37,89,-19.9309,-60.7718
239,São Félix do Xingu,BR,76,75.09,1.07,91,-6.6447,-51.995
240,Nuuk,GL,90,21.2,16.11,79,64.1835,-51.7216
241,Peruíbe,BR,100,74.91,6.8,87,-24.32,-46.9983
242,Province of Mantua,IT,100,42.01,10.0,78,45.1667,10.7833
243,Micheweni,TZ,100,80.74,11.61,77,-4.9667,39.8333
244,Oeiras do Pará,BR,82,76.6,4.38,94,-2.0031,-49.8544
245,Chimoré,BO,100,67.96,2.04,93,-16.9833,-65.1333
246,Izhma,RU,85,-14.78,2.62,89,65.0083,53.9113
247,Borogontsy,RU,45,4.26,5.64,92,62.6683,131.1683
248,Graham,US,40,33.8,3.44,69,47.0529,-122.2943
249,Gradiška,BA,0,24.8,3.44,93,45.1411,17.25
250,Keti Bandar,PK,43,68.27,8.34,75,24.1447,67.4497
251,Zhigansk,RU,81,-14.46,1.66,90,66.7697,123.3711
252,Cururupu,BR,99,77.29,3.83,90,-1.8283,-44.8683
253,Armenia,AM,0,35.6,2.3,75,40.0,45.0
254,Sinegorskiy,RU,100,41.23,9.42,93,48.0139,40.8447
255,Staraya Mayna,RU,90,14.0,4.47,79,54.6,48.95
256,Santa Fe,AR,79,80.01,4.0,58,-31.6333,-60.7
257,Beringovskiy,RU,59,-22.41,18.39,84,63.05,179.3167
258,Caravelas,BR,86,76.3,5.37,80,-17.7125,-39.2481
259,Norsup,VU,69,83.14,3.04,70,-16.0667,167.3833
260,Nicoya,CR,0,87.8,12.66,45,10.1483,-85.452
261,Troitskoye,RU,1,-20.6,3.87,83,52.9821,84.6757
262,Havøysund,NO,20,26.6,4.61,74,70.9963,24.6622
263,Mazyr,BY,100,10.29,16.51,96,52.0495,29.2456
264,Cidreira,BR,85,74.59,12.62,82,-30.1811,-50.2056
265,Kichmengskiy Gorodok,RU,100,0.48,4.99,93,59.9816,45.7854
266,Longyearbyen,SJ,20,-0.4,12.66,78,78.2186,15.6401
267,Maceió,BR,0,75.2,4.61,88,-9.6658,-35.7353
268,Faya,SA,0,53.6,1.36,58,18.3851,42.4509
269,Port Elizabeth,ZA,40,71.6,4.61,94,-33.918,25.5701
270,Kahului,US,1,80.6,14.97,50,20.8947,-156.47
271,Aswān,EG,85,70.66,9.24,37,24.0934,32.907
272,Kushima,JP,75,50.0,6.91,71,31.4583,131.2333
273,Monte Patria,CL,0,73.65,6.04,51,-30.6919,-70.9467
274,Fort-Shevchenko,KZ,22,44.17,10.16,74,44.5086,50.263
275,Thompson,CA,75,-20.2,4.61,69,55.7435,-97.8558
276,Kariba,ZW,100,71.62,1.97,92,-16.5167,28.8
277,Encruzilhada do Sul,BR,100,65.43,5.48,99,-30.5439,-52.5219
